2026-05-25 10:52:34.400 | N/A | app.main | INFO | Inactivity timeout monitoring started on this worker
2026-05-25 10:52:34.401 | N/A | app.main | INFO | AutoCategorizationService will lazy-load on first use
2026-05-25 10:52:34.403 | N/A | app.services.inactivity_timeout_service | DEBUG | [TIMEOUT_SERVICE] Monitor loop started
2026-05-25 10:52:34.544 | N/A | api_health_monitor | ERROR | API health check: status=CRITICAL, error=Client error: 400
2026-05-25 10:52:34.560 | N/A | watchfiles.main | DEBUG | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\shubh\\Desktop\\Mohap\\ai-proc-agent-whatsapp\\app\\logs\\app.log')}
2026-05-25 10:52:34.921 | N/A | watchfiles.main | DEBUG | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\shubh\\Desktop\\Mohap\\ai-proc-agent-whatsapp\\app\\logs\\app.log')}
2026-05-25 10:52:35.279 | N/A | watchfiles.main | DEBUG | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\shubh\\Desktop\\Mohap\\ai-proc-agent-whatsapp\\app\\logs\\app.log')}
2026-05-25 10:52:35.637 | N/A | watchfiles.main | DEBUG | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\shubh\\Desktop\\Mohap\\ai-proc-agent-whatsapp\\app\\logs\\app.log')}
2026-05-25 10:52:35.997 | N/A | watchfiles.main | DEBUG | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\shubh\\Desktop\\Mohap\\ai-proc-agent-whatsapp\\app\\logs\\app.log')}
2026-05-25 10:52:36.355 | N/A | watchfiles.main | DEBUG | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\shubh\\Desktop\\Mohap\\ai-proc-agent-whatsapp\\app\\logs\\app.log')}
2026-05-25 10:52:36.713 | N/A | watchfiles.main | DEBUG | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\shubh\\Desktop\\Mohap\\ai-proc-agent-whatsapp\\app\\logs\\app.log')}
2026-05-25 10:52:37.089 | N/A | watchfiles.main | DEBUG | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\shubh\\Desktop\\Mohap\\ai-proc-agent-whatsapp\\app\\logs\\app.log')}
2026-05-25 10:52:37.462 | N/A | watchfiles.main | DEBUG | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\shubh\\Desktop\\Mohap\\ai-proc-agent-whatsapp\\app\\logs\\app.log')}
2026-05-25 10:52:37.870 | N/A | watchfiles.main | DEBUG | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\shubh\\Desktop\\Mohap\\ai-proc-agent-whatsapp\\app\\logs\\app.log')}
